1,Toy Story (1995),5
2,GoldenEye (1995),
3,Four Rooms (1995),3
4,Get Shorty (1995),
5,Copycat (1995),1
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),
7,Twelve Monkeys (1995),5
8,Babe (1995),
9,Dead Man Walking (1995),
10,Richard III (1995),
11,Seven (Se7en) (1995),
12,Usual Suspects,5
13,Mighty Aphrodite (1995),
14,Postino,
15,Mr. Holland's Opus (1995),
16,French Twist (Gazon maudit) (1995),
17,From Dusk Till Dawn (1996),
18,White Balloon,
19,Antonia's Line (1995),
20,Angels and Insects (1995),5
21,Muppet Treasure Island (1996),
22,Braveheart (1995),
23,Taxi Driver (1976),
24,Rumble in the Bronx (1995),
25,Birdcage,
26,Brothers McMullen,
27,Bad Boys (1995),
28,Apollo 13 (1995),5
29,Batman Forever (1995),
30,Belle de jour (1967),
31,Crimson Tide (1995),
32,Crumb (1994),
33,Desperado (1995),5
34,Doom Generation,
35,Free Willy 2: The Adventure Home (1995),
36,Mad Love (1995),
37,Nadja (1994),4
38,Net,
39,Strange Days (1995),
40,To Wong Foo,
41,Billy Madison (1995),
42,Clerks (1994),
43,Disclosure (1994),
44,Dolores Claiborne (1994),
45,Eat Drink Man Woman (1994),
46,Exotica (1994),
47,Ed Wood (1994),
48,Hoop Dreams (1994),
49,I.Q. (1994),
50,Star Wars (1977),5
51,Legends of the Fall (1994),
52,Madness of King George,
53,Natural Born Killers (1994),
54,Outbreak (1995),
55,Professional,
56,Pulp Fiction (1994),
57,Priest (1994),
58,Quiz Show (1994),
59,Three Colors: Red (1994),5
60,Three Colors: Blue (1993),
61,Three Colors: White (1994),
62,Stargate (1994),
63,Santa Clause,
64,Shawshank Redemption, 5
65,What's Eating Gilbert Grape (1993),
66,While You Were Sleeping (1995),
67,Ace Ventura: Pet Detective (1994),
68,Crow,5
69,Forrest Gump (1994),
70,Four Weddings and a Funeral (1994),
71,Lion King,
72,Mask,
73,Maverick (1994),
74,Faster Pussycat! Kill! Kill! (1965),
75,Brother Minister: The Assassination of Malcolm X (1994),
76,Carlito's Way (1993),
77,Firm,
